state,measure_id,change_2016,change_2017,change_2018,change_2019,change_2020,change_2021,change_2022,change_2023
MT,H_COMP_5,1.0,-5.0,8.0,0.0,4.0,0.0,-3.0,-3.0
MT,H_COMP_6,6.0,2.0,-6.0,0.0,4.0,0.0,-6.0,4.0
MT,H_COMP_7,4.0,-3.0,1.0,1.0,-2.0,1.0,0.0,0.0
MT,H_HSP_RATING,2.0,2.0,-4.0,1.0,1.0,0.0,0.0,0.0
MT,H_QUIET_HSP,2.0,-2.0,0.0,-2.0,4.0,-1.0,3.0,0.0
MT,H_RECMND,2.0,0.0,-2.0,1.0,0.0,-1.0,1.0,-1.0
NC,H_CLEAN_HSP,-1.0,1.0,1.0,0.0,1.0,1.0,-6.0,-4.0
NC,H_COMP_1,1.0,0.0,0.0,0.0,1.0,-1.0,-2.0,-2.0
NC,H_COMP_2,0.0,0.0,0.0,-2.0,2.0,0.0,-3.0,-1.0
NC,H_COMP_3,0.0,0.0,0.0,0.0,1.0,0.0,-7.0,-2.0
NC,H_COMP_5,1.0,0.0,0.0,0.0,1.0,-1.0,-6.0,-3.0
NC,H_COMP_6,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,-2.0
NC,H_COMP_7,0.0,-1.0,2.0,0.0,0.0,0.0,-3.0,-1.0
NC,H_HSP_RATING,1.0,3.0,-1.0,-1.0,0.0,0.0,-2.0,-4.0
NC,H_QUIET_HSP,3.0,1.0,-2.0,-2.0,1.0,0.0,-1.0,-2.0
NC,H_RECMND,0.0,1.0,0.0,-2.0,2.0,0.0,-3.0,-4.0
ND,H_CLEAN_HSP,0.0,6.0,0.0,4.0,0.0,0.0,-10.0,1.0
ND,H_COMP_1,4.0,2.0,1.0,1.0,0.0,1.0,0.0,-4.0
ND,H_COMP_2,3.0,0.0,3.0,-2.0,0.0,0.0,1.0,-2.0
ND,H_COMP_3,8.0,2.0,1.0,-2.0,-1.0,-1.0,4.0,-8.0
ND,H_COMP_5,0.0,14.0,-1.0,-3.0,-1.0,0.0,0.0,-7.0
ND,H_COMP_6,0.0,4.0,6.0,-6.0,0.0,0.0,0.0,-4.0
ND,H_COMP_7,4.0,4.0,1.0,1.0,-1.0,2.0,1.0,-7.0
ND,H_HSP_RATING,6.0,5.0,-2.0,2.0,2.0,-1.0,3.0,-8.0
ND,H_QUIET_HSP,5.0,1.0,2.0,1.0,1.0,0.0,3.0,-4.0
ND,H_RECMND,3.0,4.0,1.0,1.0,1.0,2.0,-4.0,-2.0
NE,H_CLEAN_HSP,0.0,2.0,2.0,-2.0,3.0,-1.0,-5.0,-1.0
NE,H_COMP_1,2.0,0.0,0.0,-2.0,3.0,0.0,-2.0,-1.0
NE,H_COMP_2,1.0,0.0,0.0,-3.0,3.0,0.0,-2.0,-1.0
NE,H_COMP_3,2.0,-2.0,3.0,1.0,-1.0,0.0,-3.0,-2.0
