release_period,state,measure_id,bottom-box_percentage,middle-box_percentage,top-box_percentage,state_name,region,nps
2020,DE,H_RECMND,6.0,24.0,70.0,Delaware,South Atlantic,64.0
2020,FL,H_RECMND,7.0,24.0,69.0,Florida,South Atlantic,62.0
2020,GA,H_RECMND,6.0,24.0,70.0,Georgia,South Atlantic,64.0
2020,HI,H_RECMND,4.0,25.0,71.0,Hawaii,Pacific,67.0
2020,IA,H_RECMND,3.0,21.0,76.0,Iowa,West North Central,73.0
2020,ID,H_RECMND,3.0,21.0,76.0,Idaho,Mountain,73.0
2020,IL,H_RECMND,5.0,24.0,71.0,Illinois,East North Central,66.0
2020,IN,H_RECMND,5.0,23.0,72.0,Indiana,East North Central,67.0
2020,KS,H_RECMND,3.0,19.0,78.0,Kansas,West North Central,75.0
2020,KY,H_RECMND,5.0,25.0,70.0,Kentucky,East South Central,65.0
2020,LA,H_RECMND,4.0,20.0,76.0,Louisiana,West South Central,72.0
2020,MA,H_RECMND,5.0,22.0,73.0,Massachusetts,New England,68.0
2020,MD,H_RECMND,7.0,27.0,66.0,Maryland,South Atlantic,59.0
2020,ME,H_RECMND,4.0,20.0,76.0,Maine,New England,72.0
2020,MI,H_RECMND,5.0,23.0,72.0,Michigan,East North Central,67.0
2020,MN,H_RECMND,3.0,21.0,76.0,Minnesota,West North Central,73.0
2020,MO,H_RECMND,5.0,25.0,70.0,Missouri,West North Central,65.0
2020,MS,H_RECMND,7.0,23.0,70.0,Mississippi,East South Central,63.0
2020,MT,H_RECMND,5.0,24.0,71.0,Montana,Mountain,66.0
2020,NC,H_RECMND,5.0,24.0,71.0,North Carolina,South Atlantic,66.0
2020,ND,H_RECMND,3.0,20.0,77.0,North Dakota,West North Central,74.0
2020,NE,H_RECMND,2.0,19.0,79.0,Nebraska,West North Central,77.0
2020,NH,H_RECMND,4.0,22.0,74.0,New Hampshire,New England,70.0
2020,NJ,H_RECMND,7.0,27.0,66.0,New Jersey,Mid-Atlantic,59.0
2020,NM,H_RECMND,7.0,28.0,65.0,New Mexico,Mountain,58.0
2020,NV,H_RECMND,7.0,23.0,70.0,Nevada,Mountain,63.0
2020,NY,H_RECMND,7.0,27.0,66.0,New York,Mid-Atlantic,59.0
2020,OH,H_RECMND,4.0,23.0,73.0,Ohio,East North Central,69.0
2020,OK,H_RECMND,5.0,22.0,73.0,Oklahoma,West South Central,68.0
2020,OR,H_RECMND,4.0,21.0,75.0,Oregon,Pacific,71.0
2020,PA,H_RECMND,5.0,25.0,70.0,Pennsylvania,Mid-Atlantic,65.0
2020,RI,H_RECMND,5.0,21.0,74.0,Rhode Island,New England,69.0
2020,SC,H_RECMND,6.0,23.0,71.0,South Carolina,South Atlantic,65.0
2020,SD,H_RECMND,2.0,17.0,81.0,South Dakota,West North Central,79.0
2020,TN,H_RECMND,6.0,24.0,70.0,Tennessee,East South Central,64.0
2020,TX,H_RECMND,5.0,21.0,74.0,Texas,West South Central,69.0
2020,UT,H_RECMND,4.0,20.0,76.0,Utah,Mountain,72.0
2020,VA,H_RECMND,5.0,25.0,70.0,Virginia,South Atlantic,65.0
2020,VT,H_RECMND,4.0,21.0,75.0,Vermont,New England,71.0
2020,WA,H_RECMND,5.0,23.0,72.0,Washington,Pacific,67.0
2020,WI,H_RECMND,3.0,21.0,76.0,Wisconsin,East North Central,73.0
2020,WV,H_RECMND,5.0,26.0,69.0,West Virginia,South Atlantic,64.0
2020,WY,H_RECMND,3.0,26.0,71.0,Wyoming,Mountain,68.0
2021,AK,H_RECMND,7.0,23.0,70.0,Alaska,Pacific,63.0
2021,AL,H_RECMND,6.0,24.0,70.0,Alabama,East South Central,64.0
2021,AR,H_RECMND,5.0,24.0,71.0,Arkansas,West South Central,66.0
2021,AZ,H_RECMND,6.0,25.0,69.0,Arizona,Mountain,63.0
2021,CA,H_RECMND,6.0,24.0,70.0,California,Pacific,64.0
2021,CO,H_RECMND,4.0,20.0,76.0,Colorado,Mountain,72.0
2021,CT,H_RECMND,5.0,24.0,71.0,Connecticut,New England,66.0
2021,DC,H_RECMND,11.0,27.0,62.0,District of Columbia,South Atlantic,51.0
2021,DE,H_RECMND,5.0,25.0,70.0,Delaware,South Atlantic,65.0
2021,FL,H_RECMND,7.0,23.0,70.0,Florida,South Atlantic,63.0
2021,GA,H_RECMND,6.0,24.0,70.0,Georgia,South Atlantic,64.0
2021,HI,H_RECMND,4.0,27.0,69.0,Hawaii,Pacific,65.0
2021,IA,H_RECMND,3.0,21.0,76.0,Iowa,West North Central,73.0
2021,ID,H_RECMND,4.0,21.0,75.0,Idaho,Mountain,71.0
2021,IL,H_RECMND,5.0,25.0,70.0,Illinois,East North Central,65.0
2021,IN,H_RECMND,5.0,22.0,73.0,Indiana,East North Central,68.0
2021,KS,H_RECMND,3.0,19.0,78.0,Kansas,West North Central,75.0
2021,KY,H_RECMND,5.0,25.0,70.0,Kentucky,East South Central,65.0
2021,LA,H_RECMND,4.0,20.0,76.0,Louisiana,West South Central,72.0
2021,MA,H_RECMND,5.0,22.0,73.0,Massachusetts,New England,68.0
2021,MD,H_RECMND,7.0,27.0,66.0,Maryland,South Atlantic,59.0
2021,ME,H_RECMND,4.0,21.0,75.0,Maine,New England,71.0
2021,MI,H_RECMND,5.0,23.0,72.0,Michigan,East North Central,67.0
2021,MN,H_RECMND,3.0,20.0,77.0,Minnesota,West North Central,74.0
2021,MO,H_RECMND,5.0,25.0,70.0,Missouri,West North Central,65.0
2021,MS,H_RECMND,6.0,25.0,69.0,Mississippi,East South Central,63.0
2021,MT,H_RECMND,5.0,25.0,70.0,Montana,Mountain,65.0
2021,NC,H_RECMND,5.0,24.0,71.0,North Carolina,South Atlantic,66.0
2021,ND,H_RECMND,2.0,20.0,78.0,North Dakota,West North Central,76.0
2021,NE,H_RECMND,2.0,19.0,79.0,Nebraska,West North Central,77.0
2021,NH,H_RECMND,4.0,23.0,73.0,New Hampshire,New England,69.0
2021,NJ,H_RECMND,7.0,27.0,66.0,New Jersey,Mid-Atlantic,59.0
2021,NM,H_RECMND,7.0,28.0,65.0,New Mexico,Mountain,58.0
2021,NV,H_RECMND,7.0,22.0,71.0,Nevada,Mountain,64.0
2021,NY,H_RECMND,7.0,27.0,66.0,New York,Mid-Atlantic,59.0
2021,OH,H_RECMND,4.0,23.0,73.0,Ohio,East North Central,69.0
2021,OK,H_RECMND,5.0,21.0,74.0,Oklahoma,West South Central,69.0
2021,OR,H_RECMND,4.0,22.0,74.0,Oregon,Pacific,70.0
2021,PA,H_RECMND,5.0,25.0,70.0,Pennsylvania,Mid-Atlantic,65.0
2021,RI,H_RECMND,5.0,20.0,75.0,Rhode Island,New England,70.0
